[(1987434, 99,  98, 99, '1st') (1810827, 99,  89, 96, '1st')
 (1814348, 99,  73, 91, '1st') (2097299, 99,  66, 89, '1st')
 (2097280, 87,  92, 89, '1st') (2080816, 99,  58, 87, '1st')
 (1812167, 99,  59, 87, '1st') (2014621, 88,  77, 85, '1st')
 (1892631, 89,  75, 85, '1st') (1923106, 84,  83, 84, '1st')
 (1875869, 94,  59, 84, '1st') (2134731, 90,  67, 83, '1st')
 (1955979, 77,  96, 83, '1st') (2166511, 76,  95, 82, '1st')
 (2050486, 75,  97, 82, '1st') (1979701, 99,  41, 82, '1st')
 (1844734, 94,  51, 81, '1st') (2155555, 99,  36, 80, '1st')
 (2127276, 99,  34, 80, '1st') (2119755, 73,  96, 80, '1st')
 (1961463, 99,  36, 80, '1st') (1907567, 85,  70, 80, '1st')
 (1828016, 79,  80, 80, '1st') (2127920, 86,  60, 79, '1st')
 (2005275, 78,  80, 79, '1st') (2135594, 92,  46, 78, '1st')
 (2117615, 71,  94, 78, '1st') (2086935, 68, 100, 78, '1st')
 (1838912, 86,  53, 77, '1st') (1898192, 72,  83, 75, '1st')
 (1925619, 74,  74, 74, '1st') (2078406, 72,  75, 73, '1st')
 (1903578, 88,  37, 73, '1st') (2161939, 67,  81, 72, '1st')
 (2013607, 80,  49, 71, '1st') (2086500, 74,  60, 70, '1st')
 (2168103, 98,   2, 69, '2nd') (2140505, 57,  97, 69, '2nd')
 (2079765, 79,  46, 69, '2nd') (1815646, 64,  79, 69, '2nd')
 (1801310, 65,  78, 69, '2nd') (1868058, 65,  75, 68, '2nd')
 (2150482, 63,  74, 67, '2nd') (2131709, 66,  69, 67, '2nd')
 (1980890, 61,  75, 66, '2nd') (2195576, 51,  98, 65, '2nd')
 (2068293, 82,  25, 65, '2nd') (1938973, 69,  54, 65, '2nd')
 (2133275, 51,  94, 64, '2nd') (1822607, 66,  59, 64, '2nd')
 (2068701, 60,  70, 63, '2nd') (2128205, 61,  64, 62, '2nd')
 (2127004, 68,  48, 62, '2nd') (2066237, 59,  68, 62, '2nd')
 (1991995, 68,  43, 61, '2nd') (1855456, 70,  39, 61, '2nd')
 (1835247, 65,  51, 61, '2nd') (1975802, 61,  57, 60, '2nd')
 (1901402, 70,  35, 60, '2nd') (2193120, 64,  45, 59, '2nd')
 (2124632, 57,  60, 58, '2nd') (1868578, 59,  53, 58, '2nd')
 (1920499, 54,  61, 57, '2nd') (1956052, 56,  55, 56, '2nd')
 (1915819, 50,  68, 56, '2nd') (1804425, 46,  79, 56, '2nd')
 (2121797, 46,  73, 54, '2nd') (2095152, 54,  54, 54, '2nd')
 (2049436, 39,  89, 54, '2nd') (1811398, 34,  99, 54, '2nd')
 (2082586, 58,  38, 52, '2nd') (1983929, 58,  38, 52, '2nd')
 (1924280, 32,  96, 52, '2nd') (1894369, 61,  31, 52, '2nd')
 (2157631, 30, 100, 51, '2nd') (1996334, 40,  77, 51, '2nd')
 (2194965, 49,  52, 50, '2nd') (2180906, 48,  54, 50, '2nd')
 (2165362, 45,  62, 50, '2nd') (2147325, 46,  57, 50, '2nd')
 (2099309, 37,  76, 49, '3rd') (2092266, 46,  56, 49, '3rd')
 (2067524, 43,  61, 49, '3rd') (2176075, 38,  72, 48, '3rd')
 (2125759, 49,  44, 48, '3rd') (1932827, 56,  28, 48, '3rd')
 (2003492, 42,  54, 46, '3rd') (1971335, 47,  44, 46, '3rd')
 (1963755, 47,  40, 45, '3rd') (1882149, 45,  45, 45, '3rd')
 (1975305, 43,  38, 42, '3rd') (1871813, 24,  84, 42, '3rd')
 (2168985, 32,  55, 39, '3rd') (1992226, 30,  59, 39, '3rd')
 (2116305, 20,  77, 37, '3rd') (2083148, 19,  75, 36, '3rd')
 (1962016, 29,  47, 34, '3rd') (2022465, 19,  46, 27, 'Fail')
 (2105013,  5,  71, 25, 'Fail') (2170785,  7,  37, 16, 'Fail')]
